geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (557009.0132853937 4219624.696273121),18589,3200,7700,557009.0132853937,4219624.696273121,False,False,316.0,286.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557011.4228698182 4219624.696273121),18590,3300,7700,557011.4228698182,4219624.696273121,False,False,412.0,286.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557013.8324542426 4219624.696273121),18591,3400,7700,557013.8324542426,4219624.696273121,False,False,512.0,288.0,0.30165413525194246,11.576211476253151,0.007541353348642588,-0.28940529096871614,0.2895035309819491,358.5073183507576,0.26364974787852485,0.25419335351033023,False,29.508548032382038,-9999,True,True,False,True
POINT (557016.2420386671 4219624.696273121),18592,3500,7700,557016.2420386671,4219624.696273121,False,False,512.0,288.0,0.07858544115422753,-9.412745839970809,0.0019646360306069255,0.2353186495602131,0.23532685062604977,180.47834176923334,0.2658239575001928,0.26151508386461436,False,23.755217156660663,-9999,True,True,False,True
POINT (557018.6516230915 4219624.696273121),18593,3600,7700,557018.6516230915,4219624.696273121,False,False,512.0,288.0,-0.11378588732852529,1.543352577507767,-0.0028446471551433206,-0.03858381509780884,0.03868853583348905,4.216584876996462,0.2568229533881215,0.268542723419288,True,10.398210576770438,-9999,True,False,False,True
POINT (557021.061207516 4219624.696273121),18594,3700,7700,557021.061207516,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557023.4707919405 4219624.696273121),18595,3800,7700,557023.4707919405,4219624.696273121,False,False,512.0,288.0,-0.200646145789555,0.4427638576294925,-0.0050161536782979965,-0.011069096624851227,0.012152641598212109,24.378484054703588,0.2747885927527104,0.2838898518292682,True,7.161444459614273,-9999,True,False,False,True
POINT (557025.8803763649 4219624.696273121),18596,3900,7700,557025.8803763649,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557028.2899607894 4219624.696273121),18597,4000,7700,557028.2899607894,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557030.6995452138 4219624.696273121),18598,4100,7700,557030.6995452138,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557033.1091296383 4219624.696273121),18599,4200,7700,557033.1091296383,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,"The calculated shift (X: -61.575593005593916 px / Y: -40.264975792860206 px) is recognized as too large to be valid. If you know that it is valid, just set the '-max_shift' parameter to an appropriate value. Otherwise try to use a different window size for matching via the '-ws' parameter or define the spectral bands to be used for matching manually ('-br' and '-bs').",-9999,-9999,-9999,-9999
POINT (557035.5187140628 4219624.696273121),18600,4300,7700,557035.5187140628,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557037.9282984872 4219624.696273121),18601,4400,7700,557037.9282984872,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557040.3378829117 4219624.696273121),18602,4500,7700,557040.3378829117,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557042.7474673361 4219624.696273121),18603,4600,7700,557042.7474673361,4219624.696273121,False,False,512.0,288.0,0.3324585705786126,0.24489574435125855,0.00831146421842277,-0.006122393533587456,0.010322990847338552,306.37611575177596,0.3121639371428771,0.317254019940946,True,23.336972333096625,-9999,True,False,False,True
POINT (557045.1570517606 4219624.696273121),18604,4700,7700,557045.1570517606,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557047.566636185 4219624.696273121),18605,4800,7700,557047.566636185,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557049.9762206095 4219624.696273121),18606,4900,7700,557049.9762206095,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557052.385805034 4219624.696273121),18607,5000,7700,557052.385805034,4219624.696273121,False,False,512.0,288.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
