geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (557134.9361607825 4219624.010602486),10895,7900,5200,557134.9361607825,4219624.010602486,False,False,512.0,316.0,-0.2313223628656491,-0.25871557840729176,-0.005783059052191675,0.006467889994382858,0.008676253395364496,138.19951526211636,0.07270865010471839,0.07335173892539658,True,5.811335524271271,-9999,True,False,False,True
POINT (557136.7241607882 4219624.010602486),10896,8000,5200,557136.7241607882,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,"The calculated shift (X: -85.8855413252401 px / Y: 56.91642106417566 px) is recognized as too large to be valid. If you know that it is valid, just set the '-max_shift' parameter to an appropriate value. Otherwise try to use a different window size for matching via the '-ws' parameter or define the spectral bands to be used for matching manually ('-br' and '-bs').",-9999,-9999,-9999,-9999
POINT (557138.512160794 4219624.010602486),10897,8100,5200,557138.512160794,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,"The calculated shift (X: -80.11275007928413 px / Y: 99.18475129329369 px) is recognized as too large to be valid. If you know that it is valid, just set the '-max_shift' parameter to an appropriate value. Otherwise try to use a different window size for matching via the '-ws' parameter or define the spectral bands to be used for matching manually ('-br' and '-bs').",-9999,-9999,-9999,-9999
POINT (557140.3001607998 4219624.010602486),10898,8200,5200,557140.3001607998,4219624.010602486,False,False,512.0,316.0,15.206183557171416,-0.2053205678981176,0.38015458930749446,0.0051330141723155975,0.38018924183364655,269.2264142346849,0.08098895176487762,0.06726807686382777,False,1.5297798063212298,-9999,True,True,False,True
POINT (557142.0881608055 4219624.010602486),10899,8300,5200,557142.0881608055,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557143.8761608113 4219624.010602486),10900,8400,5200,557143.8761608113,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557145.664160817 4219624.010602486),10901,8500,5200,557145.664160817,4219624.010602486,False,False,512.0,316.0,0.40082250421139104,0.15129298379660597,0.010020562564022839,-0.003782324492931366,0.010710632692298083,290.6793306768788,0.09748157364690323,0.10770786297350993,True,32.633522091420176,-9999,True,False,False,True
POINT (557147.4521608228 4219624.010602486),10902,8600,5200,557147.4521608228,4219624.010602486,False,False,512.0,316.0,0.3732530015892042,0.17864832362244448,0.009331325069069862,-0.0044662076979875565,0.010345077996139757,295.57695535485567,0.10259759417505668,0.11499368466097154,True,42.429265824709205,-9999,False,False,False,False
POINT (557149.2401608286 4219624.010602486),10903,8700,5200,557149.2401608286,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,"The calculated shift (X: 54.676171581794875 px / Y: 0.15425691026694266 px) is recognized as too large to be valid. If you know that it is valid, just set the '-max_shift' parameter to an appropriate value. Otherwise try to use a different window size for matching via the '-ws' parameter or define the spectral bands to be used for matching manually ('-br' and '-bs').",-9999,-9999,-9999,-9999
POINT (557151.0281608343 4219624.010602486),10904,8800,5200,557151.0281608343,4219624.010602486,False,False,512.0,316.0,1.667939235453546,1.6233717303537951,0.04169848095625639,-0.040584294125437737,0.058188042102474254,314.2242076425876,0.11094989709554301,0.16424551603215964,True,65.71764505135046,-9999,False,False,False,False
POINT (557152.8161608401 4219624.010602486),10905,8900,5200,557152.8161608401,4219624.010602486,False,False,512.0,316.0,1.5804572414358624,1.4729187669496973,0.03951143112499267,-0.036822970025241375,0.054010038983737685,312.9829031885009,0.11807800549598124,0.17766301944551555,True,63.045201141630564,-9999,False,False,False,False
POINT (557154.6041608459 4219624.010602486),10906,9000,5200,557154.6041608459,4219624.010602486,False,False,512.0,316.0,1.6049282043208017,1.4476995250023468,0.04012320516631007,-0.036192488856613636,0.054034876167655954,312.05152837552845,0.11753559262327605,0.1936508709236615,True,62.18251260702618,-9999,False,False,False,False
POINT (557156.3921608516 4219624.010602486),10907,9100,5200,557156.3921608516,4219624.010602486,False,False,512.0,316.0,1.3769439666231835,1.351403578906716,0.03442359925247729,-0.03378508985042572,0.04823293979944094,314.46366302085977,0.1272877692533711,0.20761726456518112,True,68.28763495373659,-9999,False,False,False,False
POINT (557158.1801608574 4219624.010602486),10908,9200,5200,557158.1801608574,4219624.010602486,False,False,512.0,316.0,1.3217584692345516,1.319565093544861,0.03304396173916757,-0.032989127561450005,0.04669246132605552,314.9524211487036,0.13064545052543675,0.21329493732525948,True,72.30350804603572,-9999,False,False,False,False
